strain	index
SAMN07525505	Long
SAMN07525496	Long
SAMN07525502	Long
SAMN07525500	Long
SAMN07525467	Long
SAMN07525466	Long
SAMN07525473	Long
SAMN07525475	Long
SAMN07525474	Long
SAMN07525507	Long
SAMN07525510	Long
SAMN07525513	Long
SAMN07525512	Long
SAMN07525465	Long
SAMN07525523	Long
SAMN07525517	Long
SAMN07525535	Long
SAMN07525526	Long
SAMN07525530	Long
SAMN07525541	Long
SAMN07525539	Long
SAMN07525536	Long
SAMN07525544	Long
SAMN07525545	Long
SAMN07525552	Long
SAMN07525547	Long
SAMN07525478	Long
SAMN07525481	Long
SAMN07525413	Long
SAMN07525495	Long
SAMN07525494	Long
SAMN07525490	Long
SAMN07525489	Long
BC-BB411-I	sands2021_BARNARDS
BC-BB495-I	sands2021_BARNARDS
BC-BB667-I	sands2021_BARNARDS
ESI-BB0050a-I1	sands2021_BARNARDS
ESI-BB0800-I1	sands2021_BARNARDS
ESI-BB1044b-I1	sands2021_BARNARDS
ESI-BB1076-I1	sands2021_BARNARDS
ESI-BB1268-I1	sands2021_BARNARDS
ESI-BB1317a-I1	sands2021_BARNARDS
ESI-BB1344b-I1	sands2021_BARNARDS
ESI-BB1437a-I1	sands2021_BARNARDS
ESI-BB1441b-I1	sands2021_BARNARDS
ESI-BB1464-I1	sands2021_BARNARDS
ESI-BB1502-I1	sands2021_BARNARDS
ESI-BB1509-I1	sands2021_BARNARDS
ESI-BB1542-I1	sands2021_BARNARDS
ESI-BB1551-I1	sands2021_BARNARDS
ESI-BB1683-I1	sands2021_BARNARDS
ESI-BB1691-I1	sands2021_BARNARDS
ESI-BB1715-I1	sands2021_BARNARDS
ESO-BB1409-I1	sands2021_BARNARDS
ESO-BB1812-I1	sands2021_BARNARDS
ESO-BB1839a-I1	sands2021_BARNARDS
ESS-BB0112b-I1	sands2021_BARNARDS
ESS-BB0135r-I	sands2021_BARNARDS
ESS-BB0254-I1	sands2021_BARNARDS
ESS-BB0272-I1	sands2021_BARNARDS
ESS-BB0280-I1	sands2021_BARNARDS
ESS-BB0304a-I1	sands2021_BARNARDS
ESS-BB0311-I1	sands2021_BARNARDS
ESS-BB0373-I1	sands2021_BARNARDS
ESS-BB0400-I1	sands2021_BARNARDS
ESS-BB0405-I1	sands2021_BARNARDS
ESS-BB0408-I1	sands2021_BARNARDS
ESS-BB0434-I1	sands2021_BARNARDS
ESS-BB0439-I1	sands2021_BARNARDS
ESS-BB0442-I1	sands2021_BARNARDS
ESS-BB0444-I1	sands2021_BARNARDS
ESS-BB0445-I1	sands2021_BARNARDS
ESS-BB0460b-I1	sands2021_BARNARDS
ESS-BB0463-I2	sands2021_BARNARDS
ESS-BB0469-I1	sands2021_BARNARDS
ESS-BB0482a-I1	sands2021_BARNARDS
ESS-BB0490-I2	sands2021_BARNARDS
ESS-BB0501-I1	sands2021_BARNARDS
ESS-BB0547a-I1	sands2021_BARNARDS
IN-BB434-I	sands2021_BARNARDS
IN-BB599-I	sands2021_BARNARDS
NK-BB6114-I	sands2021_BARNARDS
NN-BB1560-I	sands2021_BARNARDS
NN-BB1662-I	sands2021_BARNARDS
NN-BB1733r1-I	sands2021_BARNARDS
NN-BB402a-I	sands2021_BARNARDS
NW-BB750-I	sands2021_BARNARDS
PC-BB456-I	sands2021_BARNARDS
PP-BB2269-I	sands2021_BARNARDS
PP-BB2292-I	sands2021_BARNARDS
PP-BB2847-I	sands2021_BARNARDS
PP-BB3057-I	sands2021_BARNARDS
PP-BB3180-I2	sands2021_BARNARDS
PP-BB3196-I	sands2021_BARNARDS
PP-BB3318-I	sands2021_BARNARDS
PP-BB3445-I	sands2021_BARNARDS
PP-BB4154-I	sands2021_BARNARDS
PP-BB5741-I	sands2021_BARNARDS
PP-BB5838-I	sands2021_BARNARDS
PP-BB6222-I	sands2021_BARNARDS
RK-BB5-I	sands2021_BARNARDS
RK-BB50-I	sands2021_BARNARDS
RK-BB840-I	sands2021_BARNARDS
RK-BB866-I	sands2021_BARNARDS
RU-BB487-I	sands2021_BARNARDS
RU-BB59-I	sands2021_BARNARDS
RU-BB83-I	sands2021_BARNARDS
ZAT-BB2708-I1	sands2021_BARNARDS
