run_accession	sample_alias
ERR2693409	KPN037
ERR2693373	KPN042
ERR2693448	KPN016
ERR2693411	KPN035
ERR2693397	KPN021
ERR2693381	KPN031
ERR2693386	KPN025
ERR2693389	KPN059
ERR2719294	KPN024
ERR2693451	KPN023 
ERR2693399	KPN017
ERR2693403	KPN011
ERR2693447	KPN014
ERR2719292	KPN045
ERR2693388	KPN060
ERR2693368	KPN007
not found	KPN003
ERR2693410	KPN036
ERR2693408	KPN038
ERR2693398	KPN019 
ERR2693384	KPN027
ERR2693404	KPN009
ERR2693374	KPN040
ERR2693446	KPN010
ERR2693382	KPN030
ERR2696406	KPN041
ERR2693400	KPN015
ERR2696405	KPN005
ERR2719289	KPN032
ERR2693412	KPN033
ERR2693370	KPN004
ERR2693401	KPN013
ERR2693391	KPN056
ERR2719300	KPN055
ERR2719536	KPN039
ERR2693405	KPN008
ERR2693369	KPN006
ERR2693396	KPN022
ERR2719298	KPN052
ERR2693450	KPN020
ERR2693385	KPN026
ERR2693395	KPN062
ERR2693449	KPN018 
ERR2693383	KPN029
ERR2719295	KPN047
ERR2719297	KPN051
ERR2719291	KPN043
ERR2693402	KPN012
ERR2693392	KPN054
ERR2719288	KPN028
ERR2719293	KPN046
ERR2719290	KPN034
ERR2719299	KPN053
ERR2693393	KPN050
ERR2693390	KPN058
ERR2719296	KPN049
ERR2681456	ICP153
ERR2672817	IES021
ERR2681443	IES020
ERR2681440	IES031
ERR2681447	IES065
ERR2681444	IES077
ERR2681455	ICP152
ERR2719301	KPN057
ERR2693443	IES146
ERR2681450	ICP137
ERR2681448	ICP138
ERR2672815	IDA001
ERR2672816	IDA002
ERR2672820	KPN001
ERR2672821	KPN002
ERR2681460	ICP168
ERR2681461	ICP169
ERR2681462	ICP170
