run_accession	sample_alias
ERR4795383	G18001124
ERR4795384	G18001127
ERR4795386	G18001167
ERR4795387	G18000020
ERR4795388	G18000023
ERR4795389	G18000145
ERR4795390	G18000164
ERR4795392	G18000177
ERR4795393	G18000222
ERR4795394	G18000260
ERR4795395	G18000287
ERR4795396	G18000437
ERR4795398	G18000827
ERR4795399	G18000921
ERR4795400	G18000970
ERR4795401	G18001033
ERR4795402	G18001035
ERR4795403	G18001036
ERR4795404	G18001037
ERR4795405	G18001039
ERR4795406	G18001040
ERR4795407	G18001043
ERR4795408	G18001048
ERR4795409	G18001049
ERR4795410	G18001058
ERR4795411	G18001064
ERR4795412	G18001072
ERR4795413	G18001077
ERR4795415	G18001095
ERR4795416	G18001100
ERR4795417	G18001103
ERR4795418	G18001105
ERR4795419	G18001115
ERR4795420	G18001121
ERR4795421	G18001123
ERR4795422	G18001129
ERR4795423	G18001131
ERR4795424	G18001156
ERR4795425	G18001158
ERR4795426	G18001161
ERR4795427	G18001162
ERR4795429	G18000024
ERR4795430	G18000026
ERR4795431	G18000137
ERR4795433	G18000160
ERR4795434	G18000165
ERR4795435	G18000167
ERR4795436	G18000181
ERR4795437	G18000183
ERR4795438	G18000184
ERR4795439	G18000185
ERR4795440	G18000188
ERR4795441	G18000189
ERR4795442	G18000199
ERR4795443	G18000201
ERR4795444	G18000202
ERR4795445	G18000209
ERR4795446	G18000248
ERR4795447	G18000267
ERR4795448	G18000269
ERR4795449	G18000293
ERR4795451	G18000350
ERR4795452	G18000379
ERR4795453	G18000384
ERR4795454	G18000320
ERR4795455	G18000326
ERR4795456	G18000431
ERR4795457	G18000338
ERR4795459	G18000340
ERR4795460	G18000345
ERR4795461	G18000348
ERR4795462	G18000352
ERR4795463	G18000364
ERR4795464	G18000367
ERR4795465	G18000570
ERR4795466	G18000630
ERR4795467	G18000639
ERR4795468	G18000650
ERR4795469	G18000335
ERR4795470	G18000654
ERR4795471	G18000688
ERR4795472	G18000664
ERR4795473	G18000675
ERR4795474	G18000694
ERR4795475	G18000739
ERR4795476	G18000707
ERR4795477	G18000753
ERR4795478	G18000755
ERR4795479	G18000728
ERR4795480	G18001012
ERR4795481	G18000740
ERR4795482	G18001052
ERR4795483	G18000742
ERR4795484	G18001061
ERR4795485	G18001065
ERR4795486	G18000748
ERR4795487	G18000756
ERR4795488	G18001092
ERR4795489	G18000760
ERR4795490	G18000763
ERR4795492	G18000769
ERR4795493	G18001102
ERR4795495	G18000781
ERR4795497	G18000794
ERR4795501	G18000098
ERR4795504	G18000214
ERR4795505	G18000439
ERR4795506	G18000463
ERR4795507	G18000501
ERR4795508	G18000511
ERR4795509	G18000553
ERR4795510	G18000561
ERR4795511	G18000563
ERR4795512	G18000567
ERR4795513	G18000590
ERR4795514	G18000595
ERR4795515	G18000609
ERR4795518	G18000676
ERR4795519	G18000685
ERR4795520	G18000693
ERR4795521	G18000723
ERR4795522	G18000725
ERR4795523	G18000777
ERR4795524	G18000783
ERR4795525	G18000796
ERR4795526	G18000800
ERR4795527	G18000806
ERR4795528	G18000811
ERR4795529	G18000816
ERR4795530	G18000822
