run_accession	sample_alias
ERR4782979	G18584047
ERR4782981	G18584179
ERR4782987	G18584180
ERR4782989	G18584181
ERR4782999	G18584178
ERR4783001	G18583081
ERR4783011	G18584171
ERR4783014	G18584172
ERR4783019	G18584174
ERR4783027	G18584022
ERR4783029	G18584024
ERR4783035	G18584031
ERR4783039	G18584055
ERR4783042	G18584041
ERR4783047	G18584165
ERR4783050	G18584167
ERR4783054	G18584168
ERR4783057	G18584170
ERR4783064	G18503177
ERR4783070	G18503178
ERR4783074	G18584206
ERR4783226	G18584139
ERR4783227	G18584202
ERR4783233	G18584200
ERR4783234	G18503170
ERR4783235	G18584030
ERR4783238	G18584201
ERR4783241	G18584137
ERR4783242	G18584204
ERR4783245	G18583099
ERR4783249	G18583089
ERR4783253	G18584203
ERR4783255	G18584136
ERR4783257	G18583079
ERR4783262	G18503164
ERR4783263	G18584016
ERR4783265	G18583076
ERR4783268	G18584205
ERR4783270	G18584057
ERR4783271	G18503166
ERR4783273	G18583077
ERR4783275	G18583071
ERR4783281	G18583075
ERR4783283	G18584199
ERR4783288	G18583057
ERR4783290	G18503167
ERR4783293	G18584141
ERR4783297	G18503162
ERR4783298	G18503171
ERR4783299	G18584142
ERR4783302	G18503165
ERR4783305	G18584198
ERR4783306	G18503173
ERR4783307	G18584195
ERR4783315	G18584194
ERR4783318	G18584197
ERR4783320	G18584196
ERR4783321	G18584143
ERR4783324	G18503195
ERR4783326	G18584040
ERR4783329	G18584145
ERR4783332	G18584192
ERR4783334	G18583065
ERR4783340	G18583064
ERR4783342	G18583059
ERR4783343	G18584146
ERR4783347	G18584190
ERR4783348	G18503175
ERR4783353	G18584191
ERR4783356	G18583078
ERR4783358	G18584182
ERR4783360	G18584184
ERR4783362	G18584185
ERR4783364	G18584186
ERR4783366	G18584187
ERR4783368	G18584147
ERR4783370	G18584133
ERR4783372	G18584148
ERR4783374	G18584175
ERR4783376	G18584176
ERR4783378	G18584177
ERR4783380	G18584037
ERR4783382	G18584090
ERR4783384	G18584051
ERR4783386	G18584173
ERR4783390	G18584166
ERR4783392	G18584169
ERR4783395	G18503179
ERR4783396	G18584056
ERR4783400	G18584207
ERR4783402	G18584208
ERR4783404	G18584209
ERR4783484	G18583038
ERR4783485	G18584189
ERR4783504	G18600039
ERR4783505	G18600040
ERR4783506	G18600041
ERR4783507	G18600042
ERR4783508	G18600044
ERR4783509	G18600045
ERR4783510	G18600046
ERR4783513	G18503404
ERR4783516	G18503410
ERR4783555	G18600038
ERR4783557	G18600047
ERR4783558	G18600049
ERR4783559	G18503401
ERR4783560	G18503402
ERR4783561	G18503403
ERR4783565	G18503411
ERR4783566	G18503412
ERR2695853	ERR2695853
ERR2695854	ERR2695854
ERR2695857	ERR2695857
ERR2695858	ERR2695858
ERR2695859	ERR2695859
ERR2695860	ERR2695860
ERR2695861	ERR2695861
ERR2695862	ERR2695862
ERR2695863	ERR2695863
ERR2695864	ERR2695864
ERR2695865	ERR2695865
ERR2695866	ERR2695866
ERR2695867	ERR2695867
ERR2695868	ERR2695868
ERR2695869	ERR2695869
SRR5513451	SRR5513451
SRR5513460	SRR5513460
SRR5513466	SRR5513466
SRR5513475	SRR5513475
SRR5513476	SRR5513476
SRR5513477	SRR5513477
SRR5513502	SRR5513502
