run_accession	sample_alias
ERR276921	uk_8C29I
ERR276922	uk_17B10E
ERR276923	uk_17C5I
ERR276924	uk_17A11D
ERR276925	uk_17C24J
ERR276926	uk_18C20K
ERR276927	uk_18B10I
ERR276928	uk_19B25H
ERR276929	uk_19B20H
ERR276930	uk_18B32C
ERR276931	uk_19B33C
ERR276932	uk_18C2A
ERR276933	uk_18B24K
ERR276934	uk_18B26G
ERR276935	uk_19A31B
ERR276936	uk_18B33D
ERR276937	uk_19C11G
ERR276938	uk_19A15J
ERR276939	uk_7A35I
ERR276940	uk_7B15G
ERR276941	uk_7B22C
ERR276942	uk_8AL3
ERR276943	uk_8A23D
ERR276944	uk_8B10J
ERR276945	uk_8C25C
ERR276946	uk_17C30F
ERR276947	uk_19A13I
ERR276948	uk_19C17K
ERR276949	uk_19C25H
ERR276950	uk_19C33D
ERR276951	uk_7B1H
ERR276952	uk_8B30E
ERR276953	uk_8B35L
ERR276954	uk_8C11D
ERR276955	uk_17A9K
ERR276956	uk_17A18I
ERR276957	uk_17B14C
ERR276958	uk_17CA5
ERR276959	uk_17C22I
ERR276960	uk_18A3B
ERR276961	uk_18A5D
ERR276962	uk_18A11I
ERR276963	uk_18A34K
ERR276964	uk_18B24A
ERR276965	uk_19C8D
ERR276966	uk_19C21C
ERR276967	uk_5A33J
ERR276968	uk_8B22L
ERR276969	uk_7C5G
ERR276970	uk_8C2G
ERR276971	uk_8A21B
ERR276972	uk_7C10A
ERR276973	uk_8B14D
ERR276974	uk_7B15I
ERR276975	uk_8A25G
ERR276976	uk_7C2E
ERR276977	uk_8C13H
ERR276978	uk_8C1H
ERR276979	uk_7C30L
ERR276980	uk_7A18A
ERR276981	uk_7C30H
ERR276982	uk_17A6I
ERR276983	uk_8C20F
ERR276984	uk_17B16A
ERR276985	uk_17A1L
ERR276986	uk_18B9E
ERR276987	uk_17C32H
ERR276988	uk_17B15D
ERR276989	uk_18B12I
