run_accession	sample_alias
ERR5530500	2018-01-3929
ERR5530499	2018-01-1320
ERR5530498	2018-01-3926
ERR5530497	2018-01-874
ERR5530496	2018-01-4682
ERR5530495	2018-01-3334
ERR5530494	2018-01-2809
ERR5530493	2018-01-2782
ERR5530492	2018-01-2734
ERR5530491	2018-01-2280
ERR5530490	2018-01-1803
ERR5530489	2018-01-4196
ERR5530488	2018-01-1176
ERR5530487	2018-01-1446
ERR5530486	2018-01-4247
ERR5530485	2018-01-4248
ERR5530484	2018-01-2615
ERR5530483	2018-01-1007
ERR5530482	2018-01-4390
ERR5530481	2018-01-2151
ERR5530480	2018-01-709
ERR5530479	2018-01-706
ERR5530478	2018-01-2716
ERR5530477	2018-01-358
ERR5530476	2018-01-879
ERR5530475	2018-01-3095
ERR5530474	2018-01-4639
ERR5530473	2018-01-4306
ERR5530472	2018-01-3934
ERR5530471	2018-01-4735
ERR5530470	2018-01-2485
ERR5530469	2018-01-1221
ERR5530468	2018-01-2729
ERR5530467	2018-01-3777
ERR5530466	2018-01-3247
ERR5530465	2018-01-802
ERR5530464	2018-01-3295
ERR5530463	2018-01-1775
ERR5530462	2018-01-3464
ERR5530461	2018-01-4174
ERR5530460	2018-01-2860
ERR5530459	2018-01-1097
ERR5530458	2018-01-580
ERR5530457	2018-01-4203
ERR5530456	2018-01-2544
ERR5530455	2018-01-2730
ERR5530454	2018-01-4652
ERR5530453	2018-01-2242
ERR5530452	2018-01-1001
ERR5530451	2018-01-1649
ERR5530450	2018-01-3723
ERR5530449	2018-01-2125
ERR5530448	2018-01-710
ERR5530447	2018-01-1440
ERR5530446	2018-01-3863
ERR5530445	2018-01-1768
ERR5530444	2018-01-582
ERR5530443	2018-01-1095
ERR5530442	2018-01-810
ERR5530441	2018-01-1946
ERR5530440	2018-01-2643
ERR5530439	2018-01-3297
ERR5530501	2018-01-2279
ERR5530502	2018-01-4379
ERR5530503	2018-01-3893
ERR5530504	2018-01-1593
ERR5530505	2018-01-779
ERR5530506	2018-01-2839
ERR5530507	2018-01-3781
ERR5530508	2018-01-1116
ERR5530509	2018-01-714
ERR5530510	2018-01-3805
ERR5530511	2018-01-1439
ERR5530512	2018-01-2050
ERR5530513	2018-01-880
ERR5530514	2018-01-3218
ERR5530515	2018-01-4460
ERR5530516	2018-01-2084
ERR5530517	2018-01-2776
ERR5530518	2018-01-473
ERR5530519	2018-01-4847
ERR5530520	2018-01-3692
ERR5530344	2018-01-2248
ERR5530438	2018-01-4459
ERR5530437	2018-01-3773
ERR5530436	2018-01-3650
ERR5530435	2018-01-2353
ERR5530434	2018-01-3545
ERR5530433	2018-01-475
ERR5530432	2018-01-1319
ERR5530431	2018-01-1585
ERR5530430	2018-01-388
ERR5530429	2018-01-4514
ERR5530428	2018-01-1683
ERR5530427	2018-01-3688
ERR5530426	2018-01-507
ERR5530425	2018-01-1658
ERR5530424	2018-01-2124
ERR5530423	2018-01-711
ERR5530422	2018-01-4046
ERR5530421	2018-01-2297
ERR5530420	2018-01-476
ERR5530419	2018-01-1000
ERR5530418	2018-01-3046
ERR5530417	2018-01-2545
ERR5530416	2018-01-2360
ERR5530415	2018-01-798
ERR5530414	2018-01-4653
ERR5530413	2018-01-3576
ERR5530412	2018-01-4175
ERR5530411	2018-01-2861
ERR5530410	2018-01-694
ERR5530409	2018-01-1774
ERR5530408	2018-01-3465
ERR5530407	2018-01-4108
ERR5530406	2018-01-1945
ERR5530405	2018-01-4107
ERR5530404	2018-01-2640
ERR5530403	2018-01-3408
ERR5530402	2018-01-3554
ERR5530401	2018-01-2940
ERR5530400	2018-01-2406
ERR5530399	2018-01-1214
ERR5530398	2018-01-4341
ERR5530397	2018-01-2295
ERR5530396	2018-01-389
ERR5530395	2018-01-1584
ERR5530394	2018-01-474
ERR5530393	2018-01-3447
ERR5530392	2018-01-3448
ERR5530391	2018-01-610
ERR5530390	2018-01-1594
ERR5530389	2018-01-3590
ERR5530388	2018-01-3115
ERR5530387	2018-01-2699
ERR5530386	2018-01-4458
ERR5530385	2018-01-2723
ERR5530384	2018-01-2372
ERR5530383	2018-01-3296
ERR5530382	2018-01-723
ERR5530381	2018-01-3125
ERR5530380	2018-01-4019
ERR5530379	2018-01-1256
ERR5530378	2018-01-1022
ERR5530377	2018-01-3029
ERR5530376	2018-01-873
ERR5530375	2018-01-583
ERR5530374	2018-01-1769
