run_accession	sample_alias
ERR3655864	NHP1149
ERR3655868	NHP1151
ERR3655872	NHP1153
ERR4139425	NHP1156
ERR3567263	NHP050
ERR3567346	NHP139
ERR3567353	NHP146
ERR3567405	NHP212
ERR3642134	NHP574
ERR3642388	NHP810
ERR3642394	NHP813
ERR4023997	NHP1450
ERR4024000	NHP1456
ERR4023932	NHP1648
ERR4045908	NHP1844
ERR4045920	NHP1849
ERR4046053	NHP2096
ERR4046069	NHP2101
ERR4046503	NHP2492
ERR4046511	NHP2494
ERR3567240	NHP020
ERR3642067	NHP024
ERR3567244	NHP027
ERR4045399	NHP031
ERR3567269	NHP058
ERR3567277	NHP068
ERR4139259	BMP039
ERR4139262	BMP043
ERR3584924	BMP053
ERR4139271	BMP056
ERR3584928	BMP060
ERR3584932	BMP065
ERR3584949	BMP086
ERR3584952	BMP090
ERR3584957	BMP095
ERR3584963	BMP104
ERR3584972	BMP116
ERR3584977	BMP121
ERR3567299	NHP093
ERR3585000	BMP146
ERR4045427	NHP097
ERR3567318	NHP113
ERR3567323	NHP118
ERR3567330	NHP123
ERR3567340	NHP133
ERR3567354	NHP147
ERR3567358	NHP151
ERR3585003	BMP149
ERR4139280	BMP150
ERR3585021	BMP170
ERR4139283	BMP174
ERR3595964	BMP183
ERR3567511	BMP208
ERR3567522	BMP219
ERR3567526	BMP223
ERR3567531	BMP228
ERR3567534	BMP232
ERR3567583	BMP286
ERR3567587	BMP290
ERR3567590	BMP293
ERR3567597	BMP298
ERR3567599	BMP300
ERR3567601	BMP304
ERR3567603	BMP306
ERR3567413	NHP220
ERR3567451	NHP270
ERR3567468	NHP293
ERR4139333	NHP298
ERR3567633	BMP341
ERR3567636	BMP344
ERR3567656	BMP365
ERR4139307	BMP363
ERR3567690	BMP410
ERR3567692	BMP414
ERR3567502	NHP338
ERR3905121	NHP335
ERR3595907	NHP349
ERR3595910	NHP352
ERR3595930	NHP378
ERR4045480	NHP380
ERR3595957	NHP397
ERR3595952	NHP414
ERR3595955	NHP417
ERR3567711	BMP438
ERR3595961	NHP422
ERR3567851	BMP445
ERR3567716	BMP449
ERR3567853	BMP453
ERR3567718	BMP452
ERR3567729	BMP465
ERR3567730	BMP468
ERR3567757	BMP498
ERR3567762	BMP503
ERR3567773	BMP517
ERR4139353	BMP519
ERR3642096	NHP446
ERR4139319	NHP447
ERR3567804	BMP543
ERR3567805	BMP555
ERR3642104	NHP451
ERR3642108	NHP453
ERR3642135	NHP474
ERR3642155	NHP484
ERR3642161	NHP488
ERR4139334	NHP498
ERR3642198	NHP509
ERR3642047	NHP524
ERR3642048	NHP525
ERR3642050	NHP527
ERR4139340	NHP528
ERR3567835	BMP593
ERR4139359	BMP597
ERR3567877	BMP658
ERR4139378	BMP661
ERR3567887	BMP670
ERR4139384	BMP671
ERR3642051	NHP530
ERR3567889	BMP674
ERR3585050	BMP676
ERR3642054	NHP535
ERR4139355	NHP538
ERR4139361	NHP546
ERR4139367	NHP548
ERR4139395	NHP563
ERR3642205	NHP568
ERR3642158	NHP587
ERR4045536	NHP593
ERR3642193	NHP612
ERR3642199	NHP616
