run_accession	sample_alias
SRR2724090	50518740
SRR2724091	50531633
SRR2724092	50572569
SRR2724093	50580255
SRR2724096	50606221
SRR2724097	50625602
SRR2724098	50627996
SRR2724106	50667959
SRR2724109	50675619
SRR2724113	50690310
SRR2724114	50700924
SRR2724116	50732159
SRR2724123	50752501
SRR2724120	50806829
SRR2724129	50825040
SRR2724130	50834782
SRR2724135	50877064
SRR2724136	50878013
SRR2724137	50884375
SRR2724138	50893576
SRR2598972	K45-67
SRR2724077	K46-62
SRR2724078	K47-25
SRR2724089	K48-58
SRR2724100	K52-10
SRR2724111	K52-36
SRR2724122	K52-43
SRR2724134	K52-74
SRR2724139	K53-64
SRR2724140	K54-05
SRR2724079	K57-33
SRR2724081	K66-45
SRR2724082	K66-62
SRR2724083	K66-73
SRR2724085	K67-17
SRR2724086	K68-18
SRR2724087	K68-73
