run_accession	sample_alias
ERR5530500	2018-01-3929_sunde
ERR5530499	2018-01-1320_sunde
ERR5530498	2018-01-3926_sunde
ERR5530497	2018-01-874_sunde
ERR5530496	2018-01-4682_sunde
ERR5530495	2018-01-3334_sunde
ERR5530494	2018-01-2809_sunde
ERR5530493	2018-01-2782_sunde
ERR5530492	2018-01-2734_sunde
ERR5530491	2018-01-2280_sunde
ERR5530490	2018-01-1803_sunde
ERR5530489	2018-01-4196_sunde
ERR5530488	2018-01-1176_sunde
ERR5530487	2018-01-1446_sunde
ERR5530486	2018-01-4247_sunde
ERR5530485	2018-01-4248_sunde
ERR5530484	2018-01-2615_sunde
ERR5530483	2018-01-1007_sunde
ERR5530482	2018-01-4390_sunde
ERR5530481	2018-01-2151_sunde
ERR5530480	2018-01-709_sunde
ERR5530479	2018-01-706_sunde
ERR5530478	2018-01-2716_sunde
ERR5530477	2018-01-358_sunde
ERR5530476	2018-01-879_sunde
ERR5530475	2018-01-3095_sunde
ERR5530474	2018-01-4639_sunde
ERR5530473	2018-01-4306_sunde
ERR5530472	2018-01-3934_sunde
ERR5530471	2018-01-4735_sunde
ERR5530470	2018-01-2485_sunde
ERR5530469	2018-01-1221_sunde
ERR5530468	2018-01-2729_sunde
ERR5530467	2018-01-3777_sunde
ERR5530466	2018-01-3247_sunde
ERR5530465	2018-01-802_sunde
ERR5530464	2018-01-3295_sunde
ERR5530463	2018-01-1775_sunde
ERR5530462	2018-01-3464_sunde
ERR5530461	2018-01-4174_sunde
ERR5530460	2018-01-2860_sunde
ERR5530459	2018-01-1097_sunde
ERR5530458	2018-01-580_sunde
ERR5530457	2018-01-4203_sunde
ERR5530456	2018-01-2544_sunde
ERR5530455	2018-01-2730_sunde
ERR5530454	2018-01-4652_sunde
ERR5530453	2018-01-2242_sunde
ERR5530452	2018-01-1001_sunde
ERR5530451	2018-01-1649_sunde
ERR5530450	2018-01-3723_sunde
ERR5530449	2018-01-2125_sunde
ERR5530448	2018-01-710_sunde
ERR5530447	2018-01-1440_sunde
ERR5530446	2018-01-3863_sunde
ERR5530445	2018-01-1768_sunde
ERR5530444	2018-01-582_sunde
ERR5530443	2018-01-1095_sunde
ERR5530442	2018-01-810_sunde
ERR5530441	2018-01-1946_sunde
ERR5530440	2018-01-2643_sunde
ERR5530439	2018-01-3297_sunde
ERR5530501	2018-01-2279_sunde
ERR5530502	2018-01-4379_sunde
ERR5530503	2018-01-3893_sunde
ERR5530504	2018-01-1593_sunde
ERR5530505	2018-01-779_sunde
ERR5530506	2018-01-2839_sunde
ERR5530507	2018-01-3781_sunde
ERR5530508	2018-01-1116_sunde
ERR5530509	2018-01-714_sunde
ERR5530510	2018-01-3805_sunde
ERR5530511	2018-01-1439_sunde
ERR5530512	2018-01-2050_sunde
ERR5530513	2018-01-880_sunde
ERR5530514	2018-01-3218_sunde
ERR5530515	2018-01-4460_sunde
ERR5530516	2018-01-2084_sunde
ERR5530517	2018-01-2776_sunde
ERR5530518	2018-01-473_sunde
ERR5530519	2018-01-4847_sunde
ERR5530520	2018-01-3692_sunde
ERR5530344	2018-01-2248_sunde
ERR5530438	2018-01-4459_sunde
ERR5530437	2018-01-3773_sunde
ERR5530436	2018-01-3650_sunde
ERR5530435	2018-01-2353_sunde
ERR5530434	2018-01-3545_sunde
ERR5530433	2018-01-475_sunde
ERR5530432	2018-01-1319_sunde
ERR5530431	2018-01-1585_sunde
ERR5530430	2018-01-388_sunde
ERR5530429	2018-01-4514_sunde
ERR5530428	2018-01-1683_sunde
ERR5530427	2018-01-3688_sunde
ERR5530426	2018-01-507_sunde
ERR5530425	2018-01-1658_sunde
ERR5530424	2018-01-2124_sunde
ERR5530423	2018-01-711_sunde
ERR5530422	2018-01-4046_sunde
ERR5530421	2018-01-2297_sunde
ERR5530420	2018-01-476_sunde
ERR5530419	2018-01-1000_sunde
ERR5530418	2018-01-3046_sunde
ERR5530417	2018-01-2545_sunde
ERR5530416	2018-01-2360_sunde
ERR5530415	2018-01-798_sunde
ERR5530414	2018-01-4653_sunde
ERR5530413	2018-01-3576_sunde
ERR5530412	2018-01-4175_sunde
ERR5530411	2018-01-2861_sunde
ERR5530410	2018-01-694_sunde
ERR5530409	2018-01-1774_sunde
ERR5530408	2018-01-3465_sunde
ERR5530407	2018-01-4108_sunde
ERR5530406	2018-01-1945_sunde
ERR5530405	2018-01-4107_sunde
ERR5530404	2018-01-2640_sunde
ERR5530403	2018-01-3408_sunde
ERR5530402	2018-01-3554_sunde
ERR5530401	2018-01-2940_sunde
ERR5530400	2018-01-2406_sunde
ERR5530399	2018-01-1214_sunde
ERR5530398	2018-01-4341_sunde
ERR5530397	2018-01-2295_sunde
ERR5530396	2018-01-389_sunde
ERR5530395	2018-01-1584_sunde
ERR5530394	2018-01-474_sunde
ERR5530393	2018-01-3447_sunde
ERR5530392	2018-01-3448_sunde
ERR5530391	2018-01-610_sunde
ERR5530390	2018-01-1594_sunde
ERR5530389	2018-01-3590_sunde
ERR5530388	2018-01-3115_sunde
ERR5530387	2018-01-2699_sunde
ERR5530386	2018-01-4458_sunde
ERR5530385	2018-01-2723_sunde
ERR5530384	2018-01-2372_sunde
ERR5530383	2018-01-3296_sunde
ERR5530382	2018-01-723_sunde
ERR5530381	2018-01-3125_sunde
ERR5530380	2018-01-4019_sunde
ERR5530379	2018-01-1256_sunde
ERR5530378	2018-01-1022_sunde
ERR5530377	2018-01-3029_sunde
ERR5530376	2018-01-873_sunde
ERR5530375	2018-01-583_sunde
ERR5530374	2018-01-1769_sunde
ERR5530373	2018-01-1417_sunde
ERR5530372	2018-01-215_sunde
ERR5530371	2018-01-4736_sunde
ERR5530370	2018-01-1418_sunde
ERR5530369	2018-01-4739_sunde
ERR5530368	2018-01-3042_sunde
ERR5530367	2018-01-1475_sunde
ERR5530366	2018-01-3096_sunde
ERR5530365	2018-01-1024_sunde
ERR5530364	2018-01-1933_sunde
ERR5530363	2018-01-2639_sunde
ERR5530362	2018-01-3254_sunde
ERR5530361	2018-01-3030_sunde
ERR5530360	2018-01-3928_sunde
ERR5530359	2018-01-3892_sunde
ERR5530358	2018-01-2486_sunde
ERR5530357	2018-01-3305_sunde
ERR5530356	2018-01-778_sunde
ERR5530355	2018-01-3596_sunde
ERR5530354	2018-01-1445_sunde
ERR5530353	2018-01-1117_sunde
ERR5530352	2018-01-3780_sunde
ERR5530351	2018-01-715_sunde
ERR5530350	2018-01-2837_sunde
ERR5530349	2018-01-3975_sunde
ERR5530348	2018-01-2051_sunde
ERR5530347	2018-01-609_sunde
ERR5530346	2018-01-2503_sunde
ERR5530345	2018-01-2085_sunde
ERR5530318	2018-01-2359_sunde
ERR5530319	2018-01-4197_sunde
ERR5530320	2018-01-1802_sunde
ERR5530321	2018-01-2939_sunde
ERR5530322	2018-01-4766_sunde
ERR5530323	2018-01-1178_sunde
ERR5530324	2018-01-3269_sunde
ERR5530325	2018-01-3864_sunde
ERR5530326	2018-01-1685_sunde
ERR5530327	2018-01-3012_sunde
ERR5530328	2018-01-2926_sunde
ERR5530329	2018-01-3163_sunde
ERR5530330	2018-01-707_sunde
ERR5530331	2018-01-1148_sunde
ERR5530332	2018-01-531_sunde
ERR5530333	2018-01-3935_sunde
ERR5530334	2018-01-877_sunde
ERR5530335	2018-01-3094_sunde
ERR5530336	2018-01-878_sunde
ERR5530337	2018-01-4734_sunde
ERR5530338	2018-01-4487_sunde
ERR5530339	2018-01-3925_sunde
ERR5530340	2018-01-3776_sunde
ERR5530341	2018-01-598_sunde
ERR5530342	2018-01-3463_sunde
ERR5530343	2018-01-3779_sunde
