run_accession	sample_alias
ERR5751933	SSI435
ERR5751942	SSI384
ERR5751952	SSI356
ERR5751965	SSI331
ERR5751971	SSI319-2
ERR5751972	SSI319-1
ERR5751981	SSI287
ERR5751990	SSI249
ERR5751994	SSI231
ERR5752018	SSI111
ERR5752023	AR-73
ERR5752027	AR-609
ERR5752074	AR-254
ERR5751861	HS556-2
ERR5751862	HS556-1
ERR5751901	HS253
ERR5751916	HS11
ERR5752092	AR-S823
ERR5752093	AR-S822
ERR5752106	AR-S649
ERR5752114	AR-S492
ERR5752143	AR-S287
ERR5752155	AR-S257
ERR5752156	AR-S253
ERR5752167	AR-S138
ERR5752187	AR-S1052
ERR5752192	AR-S1015
