run_accession	sample_alias
ERS5229736 	BC-BB1047-I
ERS5229742 	BC-BB1138-I
ERS5229750 	BC-BB1210-I
ERS5229751 	BC-BB1228-I
ERS5229755 	BC-BB1283-I
ERS5229774 	BC-BB1717-I
ERS5229802 	BC-BB296-I
ERS5229818 	BC-BB411-I
ERS5229832 	BC-BB495-I
ERS5229856 	BC-BB667-I
ERS5229860 	BC-BB698-I
ERS5229864 	BC-BB742-I
ERS5229870 	BC-BB775-I
ERS5229874 	BC-BB79-I
ERS5229876 	BC-BB809-I
ERS5229886 	BC-BB897-I
ERS5229897 	BC-BB980-I
ERS5229902 	BK-BB363-I
ERS5229903 	BK-BB473-I
ERS5229912 	ESI-BB0050a-I1
ERS5229913 	ESI-BB0616-I2
ERS5229914 	ESI-BB0725-I1
ERS5229915 	ESI-BB0800-I1
ERS5229918 	ESI-BB0983-I2
ERS5229920 	ESI-BB1044b-I1
ERS5229921 	ESI-BB1076-I1
ERS5229922 	ESI-BB1268-I1
ERS5229923 	ESI-BB1317a-I1
ERS5229924 	ESI-BB1341a-I1
ERS5229926 	ESI-BB1344b-I1
ERS5229927 	ESI-BB1384a-I1
ERS5229929 	ESI-BB1401-I1
ERS5229930 	ESI-BB1437a-I1
ERS5229931 	ESI-BB1439-I1
ERS5229932 	ESI-BB1441b-I1
ERS5229933 	ESI-BB1464-I1
ERS5229934 	ESI-BB1502-I1
ERS5229935 	ESI-BB1509-I1
ERS5229936 	ESI-BB1540-I1
ERS5229937 	ESI-BB1542-I1
ERS5229938 	ESI-BB1551-I1
ERS5229939 	ESI-BB1683-I1
ERS5229940 	ESI-BB1691-I1
ERS5229941 	ESI-BB1715-I1
ERS5229942 	ESI-BB1843a-I1
ERS5229943 	ESI-BB1942a-I1
ERS5229944 	ESI-BB1942b-I1
ERS5229945 	ESO-BB0135-I1
ERS5229947 	ESO-BB1049b-I1
ERS5229949 	ESO-BB1409-I1
ERS5229951 	ESO-BB1561-I1
ERS5229952 	ESO-BB1812-I1
ERS5229953 	ESO-BB1839a-I1
ERS5229954 	ESO-BB1839b-I1
ERS5229955 	ESO-BB1869-I1
ERS5229956 	ESO-BB1890-I1
ERS5229957 	ESO-BB1948-I1
ERS5229958 	ESO-BB2005-I1
ERS5229959 	ESO-BB2023b-I1
ERS5229960 	ESS-BB0025-I1
ERS5229962 	ESS-BB0059b-I1
