strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	Antibiotic	Resistance.phenotype	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	index	Greater	Measurement.Round	Flq_mutations
G18255105	Klebsiella pneumoniae	strong	101	262756	658477	5352754	no	-	ST3278	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G18255177	Klebsiella pneumoniae	strong	69	420489	975053	5176249	no	-	ST469	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18255182	Klebsiella pneumoniae	strong	67	371094	975053	5173383	no	-	ST469	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18255184	Klebsiella pneumoniae	strong	75	371094	975053	5173819	no	-	ST469	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18255223	Klebsiella pneumoniae	strong	67	420489	982000	5174117	no	-	ST469	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18255241	Klebsiella pneumoniae	strong	101	319097	811788	5575743	no	-	ST45	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18255257	Klebsiella pneumoniae	strong	62	367382	853569	5566724	no	-	ST14	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G18255275	Klebsiella pneumoniae	strong	149	153046	508376	5634063	no	-	ST25	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G18255280	Klebsiella pneumoniae	strong	71	425674	1383002	5494208	no	-	ST17	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G18255515	Klebsiella pneumoniae	strong	136	354207	1083967	6008278	no	-	ST45	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
