Query.seq	Subject.seq	Percent.ID	Length	Mismatch	Query.start	Query.end	Subject.start	Subject.end	E.value	Bit.score
parc	C0659_parC_10_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0658_parC_10_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0650_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0618_parC_5_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0606_parC_19_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0605_parC_9_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0604_parC_11_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0600_parC_10_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0599_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0598_parC_1_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0467_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0466_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0465_parC_9_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0464_parC_15_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0463_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0456_parC_4_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0455_parC_9_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0454_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0453_parC_15_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0441_parC_19_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0431_parC_1_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0420_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0407_parC_5_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0387_parC_17_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0386_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0373_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0372_parC_12_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0360_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0359_parC_11_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0342_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0325_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0324_parC_9_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0323_parC_13_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0310_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0309_parC_13_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0302_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0290_parC_4_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0253_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0252_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0197_parC_17_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0196_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0147_parC_15_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0136_parC_5_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0135_parC_17_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0134_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0133_parC_11_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0124_parC_25_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0123_parC_21_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0109_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0108_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0107_parC_12_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0106_parC_15_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0095_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0088_parC_4_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0079_parC_16_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0069_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0068_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0067_parC_9_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0066_parC_19_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0051_parC_15_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0049_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0041_parC_4_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0040_parC_11_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0039_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0038_parC_10_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0037_parC_15_1	100	120	0	1	120	1	120	2.83E-89	251
parc	C0006_parC_9_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1194_parC_5_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP298_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP168_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP1129_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHE101_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP935_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1697_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1377_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1374_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1346_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2432_parC_27_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2506_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2628_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2460_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2523_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2124_parC_25_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2123_parC_26_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2119_parC_26_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2118_parC_14_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2011_parC_18_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2115_parC_27_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2303_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1975_parC_27_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2299_parC_9_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1972_parC_27_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2261_parC_3_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2256_parC_9_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2200_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2079_parC_11_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2007_parC_9_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2005_parC_26_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2066_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2062_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2162_parC_26_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1981_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2154_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2352_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2042_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2040_parC_28_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP2036_parC_27_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHE231_parC_5_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHE229_parC_9_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHE123_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP901_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP900_parC_1_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHE109_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHE206_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHE099_parC_3_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHE113_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1701_parC_3_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1769_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1699_parC_10_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1765_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1754_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1705_parC_3_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1514_parC_11_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1513_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1506_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP984_parC_4_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1629_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1479_parC_3_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1575_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1072_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP957_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP955_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1162_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1161_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP1084_parC_5_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP919_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP883_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP778_parC_1_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP766_parC_3_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP732_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP731_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP628_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP818_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP568_parC_13_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP509_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP476_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP474_parC_5_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP574_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP153_parC_5_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP512_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP422_parC_9_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP397_parC_5_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP395_parC_17_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP362_parC_10_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP1169_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP999_parC_10_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP918_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP905_parC_1_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP853_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP744_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP133_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP032_parC_1_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP025_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP008_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP617_parC_4_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP590_parC_9_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP538_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP533_parC_2_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP371_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP287_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP286_parC_1_1	100	120	0	1	120	1	120	2.83E-89	251
parc	BMP263_parC_6_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP293_parC_5_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP286_parC_8_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP270_parC_5_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP269_parC_10_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP123_parC_11_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP102_parC_1_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP095_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP093_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP044_parC_24_1	100	120	0	1	120	1	120	2.83E-89	251
parc	NHP035_parC_7_1	100	120	0	1	120	1	120	2.83E-89	251
