Query.seq	Subject.seq	Percent.ID	Length	Mismatch	Query.start	Query.end	Subject.start	Subject.end	E.value	Bit.score
gyra	C0658_gyrA_6_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0650_gyrA_4_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0618_gyrA_6_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0606_gyrA_13_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0605_gyrA_2_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0604_gyrA_3_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0600_gyrA_2_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0599_gyrA_2_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0598_gyrA_4_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0467_gyrA_4_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0466_gyrA_5_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0465_gyrA_6_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0464_gyrA_1_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0463_gyrA_1_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0456_gyrA_8_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0455_gyrA_6_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0454_gyrA_5_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0453_gyrA_3_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0441_gyrA_12_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0420_gyrA_1_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0407_gyrA_1_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0387_gyrA_4_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0386_gyrA_5_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0373_gyrA_3_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0372_gyrA_5_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0360_gyrA_5_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0342_gyrA_11_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0325_gyrA_14_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0324_gyrA_5_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0323_gyrA_2_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0310_gyrA_11_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0302_gyrA_9_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0290_gyrA_2_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0253_gyrA_1_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0252_gyrA_10_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0197_gyrA_4_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0196_gyrA_13_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0147_gyrA_3_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0136_gyrA_3_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0135_gyrA_2_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0134_gyrA_13_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0133_gyrA_3_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0124_gyrA_5_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0109_gyrA_2_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0108_gyrA_5_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0107_gyrA_4_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0106_gyrA_4_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0095_gyrA_1_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0088_gyrA_3_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0079_gyrA_9_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0069_gyrA_3_3	100	69	0	52	120	1	69	1.72E-47	144
gyra	C0068_gyrA_2_3	100	69	0	52	120	1	69	1.72E-47	144
